"service","establishment","lon","lat"
"Army","Dale Barracks",-2.8950533,53.2252718
"Army","Dalton Barracks",-1.3037947,51.6861956
"Army","Delhi Barracks",-1.9922127,51.2462714
"Army","Denison Barracks",-1.2827122,51.4538142
"Army","Dering Lines",-3.372218,51.941231
"Army","Dreghorn Barracks",-3.2380397,55.9045805
"Army","Duchess of Kent Barracks",-0.7604766,51.2555836
"Army","Duke of Gloucester Barracks",-2.2380335,51.8642112
"Army","Elizabeth Barracks",-0.6639695,51.3041086
"Army","Fort Blockhouse",-1.1126752,50.7893102
"Army","Fort George",-4.0711377,57.5842537
"Army","Fox Lines",-0.7557127,51.2631164
"Army","Fulwood Barracks",-2.6868547,53.7797888
"Army","Gamecock Barracks",-1.3991764,52.4932897
"Army","Gaza Barracks",-1.720785,54.380226
"Army","Glencorse Barracks",-3.2039075,55.8460675
"Army","Goojerat Barracks",0.891234,51.878462
"Army","Helles Barracks",-1.7131479,54.3671511
"Army","Horne Barracks",-1.8227927,51.1999142
"Army","Imjin Barracks",-2.19851,51.890111
"Army","Imphal Barracks",-1.073686,53.9438128
"Army","Jellalabad Barracks",-3.1013088,51.0112506
"Army","Kendrew Barracks",-0.6537546,52.7215651
"Army","Kinloss Barracks",-3.5573233,57.6395684
"Army","Kiwi Barracks",-1.733731,51.192043
"Army","Leuchars Station",-2.8814797,56.3783333
"Army","Lille Barracks",-0.7437947,51.2744479
"Army","Lucknow Barracks",-1.9922127,51.2462714
"Army","Maindy Barracks",-3.1865268,51.4984391
"Army","Marne Barracks",-1.6181077,54.3672676
"Army","McMullen Barracks",-1.4402576,50.8924972
"Army","Megiddo Lines",-2.277655,54.068246
"Army","Merville Barracks",0.8915374,51.8771308
"Army","Mins Barracks",-0.7445804,51.2638471
"Army","Mooltan Barracks",-1.6711437,51.239259
"Army","New Normandy Barracks",-0.7478264,51.269677
"Army","Normandy Barracks",-0.4344106,53.8416168
"Army","Palace Barracks",153.0140216,-27.4656001
"Army","Picton Barracks",-1.9922127,51.2462714
"Army","Powle Lines",-1.9922127,51.2462714
"Army","Prince Philip Barracks",-0.8659937,51.1138589
"Army","Prince Philip Lines",-1.9922127,51.2462714
"Army","Prince William of Gloucester Barracks",-0.6111836,52.899208
"Army","Purvis Lines",-1.9922127,51.2462714
"Army","Queen Elizabeth Barracks",-1.0362149,54.0245187
"Army","Redford Barracks",-3.2415927,55.9123491
"Army","Regent's Park Barracks",-0.1452004,51.533729
"Army","Remount Barracks",-1.1397592,52.6368778
"Army","Roberts Barracks",-1.9922127,51.2462714
"Army","Robertson Barracks",0.9748545,52.7237159
"Army","Royal Artillery Barracks, Larkhill",-1.8082716,51.2016537
"Army","Royal Artillery Barracks, Woolwich",0.0599379,51.4866327
"Army","Royal Citadel",-4.1374216,50.364798
"Army","Sir John Moore Barracks, Shorncliffe",1.1316192,51.07589
"Army","Sir John Moore Barracks, Winchester",-1.3388702,51.0908097
"Army","Somme Barracks",-1.6950577,54.3648221
"Army","St George's Barracks",-0.6246384,52.6326808
"Army","St Omer Barracks",-0.7451677,51.2605115
"Army","Stirling Lines",-2.715974,52.056398
"Army","Swinton Barracks",-1.637941,51.2390352
"Army","The Barracks, Brecon",-3.3837021,51.9445523
"Army","Thiepval Barracks",-6.0487461,54.521617
"Army","Travers Barracks",-0.7551823,51.2576225
"Army","Unijack Barracks",-2.277655,54.068246
"Army","Vauxhall Barracks",-1.2517832,51.6123505
"Army","Vimy Barracks",-1.7196428,54.36046
"Army","Ward Barracks",-1.9922127,51.2462714
"Army","Whittington Barracks",-1.771814,52.6621795
"Army","Wing Barracks",-1.9922127,51.2462714
"RAF","MOD Aberporth",-4.5615298,52.1350408
"RAF","JHC FS Aldergrove",-6.2032293,54.654834
"RAF","RAF Barkston Heath",-0.5487126,52.9631098
"RAF","RAF Barnham",0.735525,52.3882713
"RAF","RRH Benbecula",-7.4466705,57.6176695
"RAF","RAF Benson",-1.0880226,51.6130287
"RAF","MOD Boscombe Down",-1.7468691,51.1633868
"RAF","RAF Boulmer",-1.6030993,55.4219017
"RAF","RAF Brize Norton",-1.5841717,51.7611986
"RAF","RRH Brizlee Wood",-1.76899,55.4181709
"RAF","RRH Buchan",-1.8131304,57.4577754
"RAF","Chetwynd Airfield",-2.4085858,52.8015243
"RAF","RAF Coningsby",-0.1701335,53.0991209
"RAF","RAF Cosford",-2.3019755,52.6470092
"RAF","RAF Cranwell",-0.4980406,53.0357587
"RAF","RAF Digby",-0.4350915,53.0958884
"RAF","RAF Fylingdales",-0.6686738,54.3583318
"RAF","RAF Halton",-0.7281562,51.776289
"RAF","MOD Hebrides",-6.3789026,58.209106
"RAF","RAF Henlow",-0.3020721,52.008329
"RAF","RAF High Wycombe",-0.8021313,51.6816497
"RAF","RAF Honington",0.7775709,52.3373917
"RAF","Kenley Airfield",-0.5599501,51.3147593
"RAF","Keevil Airfield",-2.1165934,51.3082381
"RAF","Kirknewton Airfield",-3.4109571,55.8779109
"RAF","RAF Leeming",-1.5316317,54.292835
"RAF","Leuchars Station",-2.8814797,56.3783333
"RAF","Little Rissington Airfield",-1.7230815,51.8766799
"RAF","London Area Control Centre",-1.286256,50.88686
"RAF","RAF Lossiemouth",-3.280325,57.721579
"RAF","RAF Marham",0.5469716,52.656987
"RAF","RAF Mona",-4.3767799,53.2571414
"RAF","RRH Neatishead",1.465231,52.736843
"RAF","RAF Northolt",-0.4187648,51.5532155
"RAF","RAF Odiham",-0.9454096,51.2417985
"RAF","RRH Portreath",-5.2687222,50.263993
"RAF","RRH Saxa Vord",-0.8409691,60.8282012
"RAF","RAF Scampton",-0.541618,53.3003149
"RAF","RAF Shawbury",-2.6574817,52.792675
"RAF","RAF Spadeadam",-2.6036415,55.0269508
"RAF","MOD St. Athan",-3.4219297,51.4094556
"RAF","RAF St Mawgan",-5.0085687,50.4374626
"RAF","RRH Staxton Wold",-0.4363313,54.1869316
"RAF","RAF Syerston",-0.9091425,53.0236966
"RAF","Ternhill Airfield",-2.5411379,52.8859738
"RAF","RAF Topcliffe",-1.3911619,54.2063361
"RAF","RRH Trimingham",1.4006566,52.8930574
"RAF","RAF Valley",-4.5344406,53.2562091
"RAF","RAF Waddington",-0.5308389,53.1727834
"RAF","MOD West Freugh",-4.9476103,54.8511322
"RAF","RAF Weston-on-the-Green",-1.2282522,51.879319
"RAF","RAF Wittering",-0.4390687,52.6069074
"RAF","RAF Woodvale",-3.0458376,53.5837476
"RAF","RAF Wyton",-0.1077532,52.3571907
