Result Number,Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
360,LC08_L2SP_209021_20150816_20200908_02_T2,LC08_L1GT_209021_20150816_20200908_02_T2,LC82090212015228LGN01,2015/08/16,T2,2, 209, 021, 209, 021,NADIR,   0.000,2020/09/08,2020/09/08,2015-08-16 11:40:05.96462,2015-08-16 11:40:37.734616,LGN,DAY,  -1.00,  19.75,-1,5,,,,LPGS_15.3.1c,46.11143700,157.59518013,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,55°54'39.96"N,9°47'32.03"W,56°58'35.80"N,11°48'43.06"W,57°00'09.65"N,7°49'22.40"W,54°46'46.42"N,11°39'26.64"W,54°48'12.85"N,7°53'15.61"W, 55.91110,  -9.79223, 56.97661, -11.81196, 57.00268,  -7.82289, 54.77956, -11.65740, 54.80357,  -7.88767,LC08_L2SP_209021_20150816_20200908_02_T2,LC82090212015228LGN01
361,LC08_L2SP_207021_20150818_20200908_02_T1,LC08_L1TP_207021_20150818_20200908_02_T1,LC82070212015230LGN01,2015/08/18,T1,2, 207, 021, 207, 021,NADIR,   0.000,2020/09/08,2020/09/08,2015-08-18 11:27:45.287383,2015-08-18 11:28:17.057379,LGN,DAY,  36.92,  19.48,978,5,    4.005,    2.546,    3.092,LPGS_15.3.1c,45.51404226,157.94068965,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,55°54'40"N,6°42'13.54"W,56°59'57.95"N,8°35'00.71"W,56°55'34.07"N,4°41'56.08"W,54°51'13.90"N,8°36'21.31"W,54°47'10.28"N,4°55'45.80"W, 55.91111,  -6.70376, 56.99943,  -8.58353, 56.92613,  -4.69891, 54.85386,  -8.60592, 54.78619,  -4.92939,LC08_L2SP_207021_20150818_20200908_02_T1,LC82070212015230LGN01
362,LC08_L2SP_207022_20150818_20200908_02_T1,LC08_L1TP_207022_20150818_20200908_02_T1,LC82070222015230LGN01,2015/08/18,T1,2, 207, 022, 207, 022,NADIR,   0.000,2020/09/08,2020/09/08,2015-08-18 11:28:09.174184,2015-08-18 11:28:40.94418,LGN,DAY,  19.01,  17.01,685,5,    5.420,    3.990,    3.668,LPGS_15.3.1c,46.66742313,156.50990156,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,54°30'30.28"N,7°26'12.80"W,55°35'24.54"N,9°16'28.16"W,55°32'27.96"N,5°31'20.93"W,53°26'09.42"N,9°15'37.51"W,53°23'26.27"N,5°42'01.37"W, 54.50841,  -7.43689, 55.59015,  -9.27449, 55.54110,  -5.52248, 53.43595,  -9.26042, 53.39063,  -5.70038,LC08_L2SP_207022_20150818_20200908_02_T1,LC82070222015230LGN01
363,LC08_L2SP_201020_20150824_20200908_02_T2,LC08_L1GT_201020_20150824_20200908_02_T2,LC82010202015236LGN01,2015/08/24,T2,2, 201, 020, 201, 020,NADIR,   0.000,2020/09/08,2020/09/08,2015-08-24 10:50:18.92824,2015-08-24 10:50:50.698236,LGN,DAY,  -1.00,   8.10,-1,5,,,,LPGS_15.3.1c,42.46799341,160.37969056,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,32,WGS84,WGS84,57°18'34.31"N,3°20'44.66"E,58°19'29.32"N,1°01'13.94"E,58°31'15.74"N,5°19'04.94"E,56°03'46.69"N,1°29'47.98"E,56°14'34.48"N,5°32'23.28"E, 57.30953,   3.34574, 58.32481,   1.02054, 58.52104,   5.31804, 56.06297,   1.49666, 56.24291,   5.53980,LC08_L2SP_201020_20150824_20200908_02_T2,LC82010202015236LGN01
364,LC08_L2SP_204019_20150829_20200908_02_T2,LC08_L1GT_204019_20150829_20200908_02_T2,LC82040192015241LGN01,2015/08/29,T2,2, 204, 019, 204, 019,NADIR,   0.000,2020/09/08,2020/09/08,2015-08-29 11:08:28.9146,2015-08-29 11:09:00.684597,LGN,DAY,   0.31,  11.36,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,39.60938340,162.57696786,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,58°42'14.29"N,0°27'10.58"W,59°48'14.69"N,2°29'44.16"W,59°43'10.13"N,1°44'25.84"E,57°38'35.95"N,2°31'33.35"W,57°33'56.05"N,1°27'24.08"E, 58.70397,  -0.45294, 59.80408,  -2.49560, 59.71948,   1.74051, 57.64332,  -2.52593, 57.56557,   1.45669,LC08_L2SP_204019_20150829_20200908_02_T2,LC82040192015241LGN01
365,LC08_L2SP_203025_20150907_20200908_02_T1,LC08_L1TP_203025_20150907_20200908_02_T1,LC82030252015250LGN01,2015/09/07,T1,2, 203, 025, 203, 025,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-07 11:04:44.818236,2015-09-07 11:05:16.588232,LGN,DAY,  21.51,  13.46,353,5,    6.163,    4.372,    4.344,LPGS_15.3.1c,43.70041712,157.00749800,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'51.13"N,3°13'25.46"W,51°20'26.99"N,4°55'56.93"W,51°20'50.96"N,1°31'31.19"W,49°10'50.99"N,4°50'49.13"W,49°11'13.20"N,1°35'26.12"W, 50.28087,  -3.22374, 51.34083,  -4.93248, 51.34749,  -1.52533, 49.18083,  -4.84698, 49.18700,  -1.59059,LC08_L2SP_203025_20150907_20200908_02_T1,LC82030252015250LGN01
366,LC08_L2SP_203026_20150907_20200908_02_T1,LC08_L1TP_203026_20150907_20200908_02_T1,LC82030262015250LGN01,2015/09/07,T1,2, 203, 026, 203, 026,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-07 11:05:08.700801,2015-09-07 11:05:40.470798,LGN,DAY,   0.54,   1.83,870,5,    5.535,    3.660,    4.152,LPGS_15.3.1c,44.86926552,155.79695798,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,48°51'58.64"N,3°48'50.80"W,49°55'08.54"N,5°29'21.95"W,49°56'34.26"N,2°10'44.80"W,47°45'23.72"N,5°23'04.06"W,47°46'43.21"N,2°12'49.54"W, 48.86629,  -3.81411, 49.91904,  -5.48943, 49.94285,  -2.17911, 47.75659,  -5.38446, 47.77867,  -2.21376,LC08_L2SP_203026_20150907_20200908_02_T1,LC82030262015250LGN01
367,LC08_L2SP_201025_20150909_20200908_02_T1,LC08_L1TP_201025_20150909_20200908_02_T1,LC82010252015252LGN01,2015/09/09,T1,2, 201, 025, 201, 025,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-09 10:52:24.458904,2015-09-09 10:52:56.2289,LGN,DAY,  40.72,  13.45,223,5,    6.550,    4.491,    4.768,LPGS_15.3.1c,43.01824328,157.49389935,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'52.79"N,0°08'08.52"W,51°21'38.48"N,1°43'54.26"W,51°16'40.08"N,1°34'59.38"E,49°14'54.96"N,1°47'12.12"W,49°10'17.90"N,1°23'06.94"E, 50.28133,  -0.13570, 51.36069,  -1.73174, 51.27780,   1.58316, 49.24860,  -1.78670, 49.17164,   1.38526,LC08_L2SP_201025_20150909_20200908_02_T1,LC82010252015252LGN01
368,LC08_L2SP_199023_20150911_20200908_02_T1,LC08_L1TP_199023_20150911_20200908_02_T1,LC81990232015254LGN02,2015/09/11,T1,2, 199, 023, 199, 023,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-11 10:39:16.245696,2015-09-11 10:39:48.015693,LGN,DAY,   6.24,   5.78,115,5,    4.681,    3.518,    3.088,LPGS_15.3.1c,39.93100934,160.24057230,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,53°06'09.29"N,4°13'33.78"E,54°10'35.36"N,2°26'43.40"E,54°08'19.50"N,6°03'53.42"E,52°01'38.10"N,2°28'20.53"E,51°59'32.35"N,5°54'57.67"E, 53.10258,   4.22605, 54.17649,   2.44539, 54.13875,   6.06484, 52.02725,   2.47237, 51.99232,   5.91602,LC08_L2SP_199023_20150911_20200908_02_T1,LC81990232015254LGN02
369,LC08_L2SP_199024_20150911_20200908_02_T1,LC08_L1TP_199024_20150911_20200908_02_T1,LC81990242015254LGN02,2015/09/11,T1,2, 199, 024, 199, 024,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-11 10:39:40.132498,2015-09-11 10:40:11.902494,LGN,DAY,   0.46,   0.25,447,5,    5.244,    3.734,    3.681,LPGS_15.3.1c,41.13521112,159.11175531,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,51°41'35.38"N,3°34'20.53"E,52°45'42.08"N,1°49'55.96"E,52°44'39.70"N,5°20'21.19"E,50°36'24.70"N,1°53'10.97"E,50°35'26.95"N,5°13'50.92"E, 51.69316,   3.57237, 52.76169,   1.83221, 52.74436,   5.33922, 50.60686,   1.88638, 50.59082,   5.23081,LC08_L2SP_199024_20150911_20200908_02_T1,LC81990242015254LGN02
370,LC08_L2SP_199025_20150911_20200908_02_T1,LC08_L1TP_199025_20150911_20200908_02_T1,LC81990252015254LGN02,2015/09/11,T1,2, 199, 025, 199, 025,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-11 10:40:04.015063,2015-09-11 10:40:35.785059,LGN,DAY,   5.20,   5.05,541,5,    6.176,    4.419,    4.315,LPGS_15.3.1c,42.32941110,157.97423964,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,50°16'52.14"N,2°57'07.67"E,51°20'27.49"N,1°14'54.35"E,51°20'32.75"N,4°39'04.03"E,49°11'10.18"N,1°19'32.66"E,49°11'15.04"N,4°34'41.63"E, 50.28115,   2.95213, 51.34097,   1.24843, 51.34243,   4.65112, 49.18616,   1.32574, 49.18751,   4.57823,LC08_L2SP_199025_20150911_20200908_02_T1,LC81990252015254LGN02
371,LC08_L2SP_206018_20150912_20200908_02_T1,LC08_L1TP_206018_20150912_20200908_02_T1,LC82060182015255LGN01,2015/09/12,T1,2, 206, 018, 206, 018,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-12 11:20:33.055923,2015-09-12 11:21:04.825919,LGN,DAY,  14.84,   9.66,30,5,    7.114,    5.168,    4.889,LPGS_15.3.1c,33.41105407,166.16229672,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,60°05'37.14"N,2°39'27.58"W,61°10'52.90"N,4°55'02.50"W,61°10'10.67"N,0°22'56.21"W,58°58'15.42"N,4°47'35.38"W,58°57'36.76"N,0°33'06.30"W, 60.09365,  -2.65766, 61.18136,  -4.91736, 61.16963,  -0.38228, 58.97095,  -4.79316, 58.96021,  -0.55175,LC08_L2SP_206018_20150912_20200908_02_T1,LC82060182015255LGN01
372,LC08_L2SP_204024_20150914_20200908_02_T2,LC08_L1GT_204024_20150914_20200908_02_T2,LC82040242015257LGN01,2015/09/14,T2,2, 204, 024, 204, 024,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-14 11:10:35.76746,2015-09-14 11:11:07.537457,LGN,DAY,   8.58,  15.41,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,40.06742620,159.78879664,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,51°41'35.81"N,4°09'22.10"W,52°44'57.44"N,5°57'48.17"W,52°47'05.39"N,2°24'24.88"W,50°34'11.42"N,5°49'27.91"W,50°36'09.79"N,2°26'05.14"W, 51.69328,  -4.15614, 52.74929,  -5.96338, 52.78483,  -2.40691, 50.56984,  -5.82442, 50.60272,  -2.43476,LC08_L2SP_204024_20150914_20200908_02_T2,LC82040242015257LGN01
373,LC08_L2SP_200021_20150918_20200908_02_T2,LC08_L1GT_200021_20150918_20200908_02_T2,LC82000212015261LGN01,2015/09/18,T2,2, 200, 021, 200, 021,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-18 10:44:42.727586,2015-09-18 10:45:14.497583,LGN,DAY,  -1.00,  19.83,-1,5,,,,LPGS_15.3.1c,34.94509399,163.80430216,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,55°54'39.28"N,4°05'45.92"E,56°59'30.95"N,2°09'44.21"E,56°57'24.08"N,6°05'06.72"E,54°49'29.82"N,2°12'27.83"E,54°47'32.78"N,5°55'05.05"E, 55.91091,   4.09609, 56.99193,   2.16228, 56.95669,   6.08520, 54.82495,   2.20773, 54.79244,   5.91807,LC08_L2SP_200021_20150918_20200908_02_T2,LC82000212015261LGN01
374,LC08_L2SP_200022_20150918_20200908_02_T2,LC08_L1GT_200022_20150918_20200908_02_T2,LC82000222015261LGN01,2015/09/18,T2,2, 200, 022, 200, 022,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-18 10:45:06.610152,2015-09-18 10:45:38.380148,LGN,DAY,  -1.00,  11.17,-1,5,,,,LPGS_15.3.1c,36.18425765,162.74831273,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,54°30'30.28"N,3°21'48.28"E,55°34'51.46"N,1°28'26.18"E,55°34'10.24"N,5°15'58.79"E,53°24'30.92"N,1°33'10.08"E,53°23'52.84"N,5°08'57.44"E, 54.50841,   3.36341, 55.58096,   1.47394, 55.56951,   5.26633, 53.40859,   1.55280, 53.39801,   5.14929,LC08_L2SP_200022_20150918_20200908_02_T2,LC82000222015261LGN01
375,LC08_L2SP_201020_20150925_20200908_02_T2,LC08_L1GT_201020_20150925_20200908_02_T2,LC82010202015268LGN01,2015/09/25,T2,2, 201, 020, 201, 020,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-25 10:50:32.046747,2015-09-25 10:51:03.816744,LGN,DAY,  -1.00,   4.06,-1,5,,,,LPGS_15.3.1c,31.08763775,166.04981558,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,32,WGS84,WGS84,57°18'35.50"N,3°19'48.29"E,58°19'35.47"N,1°00'16.96"E,58°31'23.84"N,5°18'08.42"E,56°03'43.52"N,1°28'56.39"E,56°14'33"N,5°31'31.08"E, 57.30986,   3.33008, 58.32652,   1.00471, 58.52329,   5.30234, 56.06209,   1.48233, 56.24250,   5.52530,LC08_L2SP_201020_20150925_20200908_02_T2,LC82010202015268LGN01
376,LC08_L2SP_201021_20150925_20200908_02_T2,LC08_L1GT_201021_20150925_20200908_02_T2,LC82010212015268LGN01,2015/09/25,T2,2, 201, 021, 201, 021,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-25 10:50:55.929313,2015-09-25 10:51:27.699309,LGN,DAY,  -1.00,  17.79,-1,5,,,,LPGS_15.3.1c,32.34841017,165.04165177,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,55°54'40.54"N,2°33'00.14"E,56°58'43.68"N,0°32'53.99"E,56°59'36.82"N,4°31'21"E,54°47'21.23"N,0°40'57.54"E,54°48'10.19"N,4°26'20.51"E, 55.91126,   2.55004, 56.97880,   0.54833, 56.99356,   4.52250, 54.78923,   0.68265, 54.80283,   4.43903,LC08_L2SP_201021_20150925_20200908_02_T2,LC82010212015268LGN01
377,LC08_L2SP_201022_20150925_20200908_02_T2,LC08_L1GT_201022_20150925_20200908_02_T2,LC82010222015268LGN01,2015/09/25,T2,2, 201, 022, 201, 022,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-25 10:51:19.816114,2015-09-25 10:51:51.586111,LGN,DAY,  -1.00,  12.47,-1,5,,,,LPGS_15.3.1c,33.60409942,164.05298122,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,54°30'30.64"N,1°49'01.81"E,55°34'09.34"N,0°08'02.76"W,55°36'26.35"N,3°42'05.80"E,53°22'30"N,0°01'45.88"E,53°24'36.43"N,3°39'53.78"E, 54.50851,   1.81717, 55.56926,  -0.13410, 55.60732,   3.70161, 53.37500,   0.02941, 53.41012,   3.66494,LC08_L2SP_201022_20150925_20200908_02_T2,LC82010222015268LGN01
378,LC08_L2SP_201023_20150925_20200908_02_T1,LC08_L1TP_201023_20150925_20200908_02_T1,LC82010232015268LGN01,2015/09/25,T1,2, 201, 023, 201, 023,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-25 10:51:43.702915,2015-09-25 10:52:15.472912,LGN,DAY,  28.42,  16.24,196,5,    7.442,    5.728,    4.751,LPGS_15.3.1c,34.85403796,163.07707963,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,53°06'08.06"N,1°07'34.50"E,54°09'12.49"N,0°46'47.53"W,54°12'46.08"N,2°55'57.11"E,51°57'26.75"N,0°35'31.85"W,52°00'44.03"N,2°56'09.20"E, 53.10224,   1.12625, 54.15347,  -0.77987, 54.21280,   2.93253, 51.95743,  -0.59218, 52.01223,   2.93589,LC08_L2SP_201023_20150925_20200908_02_T1,LC82010232015268LGN01
379,LC08_L2SP_199024_20150927_20200908_02_T1,LC08_L1TP_199024_20150927_20200908_02_T1,LC81990242015270LGN01,2015/09/27,T1,2, 199, 024, 199, 024,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-27 10:39:46.472501,2015-09-27 10:40:18.242497,LGN,DAY,   6.53,   6.29,343,5,    5.865,    4.186,    4.109,LPGS_15.3.1c,35.36888379,162.49777902,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,51°41'35.12"N,3°33'45.76"E,52°45'41.76"N,1°49'23.95"E,52°44'40.34"N,5°19'49.22"E,50°36'24.41"N,1°52'40.44"E,50°35'27.53"N,5°13'20.42"E, 51.69309,   3.56271, 52.76160,   1.82332, 52.74454,   5.33034, 50.60678,   1.87790, 50.59098,   5.22234,LC08_L2SP_199024_20150927_20200908_02_T1,LC81990242015270LGN01
380,LC08_L2SP_199025_20150927_20200908_02_T1,LC08_L1TP_199025_20150927_20200908_02_T1,LC81990252015270LGN01,2015/09/27,T1,2, 199, 025, 199, 025,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-27 10:40:10.355066,2015-09-27 10:40:42.125063,LGN,DAY,   0.02,   0.02,547,5,    5.810,    3.962,    4.250,LPGS_15.3.1c,36.61080729,161.55039053,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,50°16'51.78"N,2°56'33.50"E,51°20'27.02"N,1°14'23.35"E,51°20'33.18"N,4°38'33.04"E,49°11'09.74"N,1°19'03.04"E,49°11'15.47"N,4°34'12"E, 50.28105,   2.94264, 51.34084,   1.23982, 51.34255,   4.64251, 49.18604,   1.31751, 49.18763,   4.57000,LC08_L2SP_199025_20150927_20200908_02_T1,LC81990252015270LGN01
381,LC08_L2SP_206024_20150928_20200908_02_T1,LC08_L1TP_206024_20150928_20200908_02_T1,LC82060242015271LGN01,2015/09/28,T1,2, 206, 024, 206, 024,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-28 11:23:02.356827,2015-09-28 11:23:34.126823,LGN,DAY,  40.87,  16.34,79,5,    8.978,    6.583,    6.105,LPGS_15.3.1c,34.99155420,162.69487506,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,51°41'34.80"N,7°15'09.50"W,52°46'02.71"N,8°56'58.60"W,52°42'54.22"N,5°28'34.18"W,50°38'01.54"N,8°57'06.91"W,50°35'06.83"N,5°38'15.83"W, 51.69300,  -7.25264, 52.76742,  -8.94961, 52.71506,  -5.47616, 50.63376,  -8.95192, 50.58523,  -5.63773,LC08_L2SP_206024_20150928_20200908_02_T1,LC82060242015271LGN01
382,LC08_L2SP_204019_20150930_20200908_02_T2,LC08_L1GT_204019_20150930_20200908_02_T2,LC82040192015273LGN01,2015/09/30,T2,2, 204, 019, 204, 019,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:08:41.648968,2015-09-30 11:09:13.418964,LGN,DAY,   0.56,   3.90,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,27.93321366,167.82220464,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,58°42'13.79"N,0°28'23.23"W,59°48'14.98"N,2°31'01.16"W,59°43'12.22"N,1°43'28.42"E,57°38'26.52"N,2°32'45.82"W,57°33'48.28"N,1°26'28.90"E, 58.70383,  -0.47312, 59.80416,  -2.51699, 59.72006,   1.72456, 57.64070,  -2.54606, 57.56341,   1.44136,LC08_L2SP_204019_20150930_20200908_02_T2,LC82040192015273LGN01
383,LC08_L2SP_204020_20150930_20200908_02_T1,LC08_L1TP_204020_20150930_20200908_02_T1,LC82040202015273LGN01,2015/09/30,T1,2, 204, 020, 204, 020,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:09:05.531533,2015-09-30 11:09:37.30153,LGN,DAY,   0.30,  13.99,451,5,    6.562,    4.370,    4.896,LPGS_15.3.1c,29.20811576,166.82655170,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,57°18'34.34"N,1°18'23.44"W,58°23'54.10"N,3°17'45.49"W,58°20'34.40"N,0°46'46.70"E,56°13'54.05"N,3°16'44.62"W,56°10'50.20"N,0°33'51.16"E, 57.30954,  -1.30651, 58.39836,  -3.29597, 58.34289,   0.77964, 56.23168,  -3.27906, 56.18061,   0.56421,LC08_L2SP_204020_20150930_20200908_02_T1,LC82040202015273LGN01
384,LC08_L2SP_204021_20150930_20200908_02_T1,LC08_L1TP_204021_20150930_20200908_02_T1,LC82040212015273LGN01,2015/09/30,T1,2, 204, 021, 204, 021,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:09:29.409863,2015-09-30 11:10:01.179859,LGN,DAY,   1.14,   9.67,1154,5,    6.255,    4.231,    4.607,LPGS_15.3.1c,30.47848112,165.86040718,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,55°54'40.25"N,2°05'10.50"W,56°59'25.80"N,4°01'48.90"W,56°57'39.78"N,0°05'49.49"W,54°49'15.35"N,3°58'27.44"W,54°47'37.61"N,0°15'16.34"W, 55.91118,  -2.08625, 56.99050,  -4.03025, 56.96105,  -0.09708, 54.82093,  -3.97429, 54.79378,  -0.25454,LC08_L2SP_204021_20150930_20200908_02_T1,LC82040212015273LGN01
385,LC08_L2SP_204022_20150930_20200908_02_T1,LC08_L1TP_204022_20150930_20200908_02_T1,LC82040222015273LGN01,2015/09/30,T1,2, 204, 022, 204, 022,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:09:53.292428,2015-09-30 11:10:25.062424,LGN,DAY,   8.65,   8.40,887,5,    6.174,    4.392,    4.339,LPGS_15.3.1c,31.74440912,164.91593814,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,54°30'31.28"N,2°49'07.90"W,55°34'42.64"N,4°42'41.65"W,55°34'22.04"N,0°55'08.69"W,53°24'22.79"N,4°37'23.30"W,53°24'03.78"N,1°01'35.65"W, 54.50869,  -2.81886, 55.57851,  -4.71157, 55.57279,  -0.91908, 53.40633,  -4.62314, 53.40105,  -1.02657,LC08_L2SP_204022_20150930_20200908_02_T1,LC82040222015273LGN01
386,LC08_L2SP_204023_20150930_20200908_02_T1,LC08_L1TP_204023_20150930_20200908_02_T1,LC82040232015273LGN01,2015/09/30,T1,2, 204, 023, 204, 023,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:10:17.174993,2015-09-30 11:10:48.94499,LGN,DAY,  25.19,  19.74,275,5,    7.685,    5.849,    4.985,LPGS_15.3.1c,33.00530995,163.98659987,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,53°06'09.68"N,3°30'34.42"W,54°09'55.48"N,5°21'37.69"W,54°10'53.08"N,1°41'18.13"W,51°59'17.38"N,5°14'39.30"W,52°00'10.62"N,1°45'10.80"W, 53.10269,  -3.50956, 54.16541,  -5.36047, 54.18141,  -1.68837, 51.98816,  -5.24425, 52.00295,  -1.75300,LC08_L2SP_204023_20150930_20200908_02_T1,LC82040232015273LGN01
387,LC08_L2SP_204024_20150930_20200908_02_T1,LC08_L1TP_204024_20150930_20200908_02_T1,LC82040242015273LGN01,2015/09/30,T1,2, 204, 024, 204, 024,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:10:41.06603,2015-09-30 11:11:12.836027,LGN,DAY,   9.76,   6.31,694,5,    6.160,    4.250,    4.459,LPGS_15.3.1c,34.26118913,163.06601579,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,51°41'34.87"N,4°09'47.30"W,52°44'56.65"N,5°58'20.14"W,52°47'05.53"N,2°24'56.88"W,50°34'10.67"N,5°49'58.40"W,50°36'09.94"N,2°26'35.66"W, 51.69302,  -4.16314, 52.74907,  -5.97226, 52.78487,  -2.41580, 50.56963,  -5.83289, 50.60276,  -2.44324,LC08_L2SP_204024_20150930_20200908_02_T1,LC82040242015273LGN01
388,LC08_L2SP_204025_20150930_20200908_02_T1,LC08_L1TP_204025_20150930_20200908_02_T1,LC82040252015273LGN01,2015/09/30,T1,2, 204, 025, 204, 025,NADIR,   0.000,2020/09/08,2020/09/08,2015-09-30 11:11:04.94436,2015-09-30 11:11:36.714356,LGN,DAY,   1.69,   2.55,485,5,    4.026,    2.255,    3.335,LPGS_15.3.1c,35.51041584,162.14936208,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'52.54"N,4°46'59.09"W,51°19'48.04"N,6°32'49.85"W,51°23'01.32"N,3°06'07.31"W,49°08'54.78"N,6°23'19.36"W,49°11'53.74"N,3°05'50.86"W, 50.28126,  -4.78308, 51.33001,  -6.54718, 51.38370,  -3.10203, 49.14855,  -6.38871, 49.19826,  -3.09746,LC08_L2SP_204025_20150930_20200908_02_T1,LC82040252015273LGN01
