"X1","X2","X3","X4","addr","lon","lat","address"
"Little Rissington Airfield","England","Gloucestershire","Former RAF station, home to No. 637 Volunteer Gliding Squadron and used for military exercises.[30]","Little Rissington Airfield, Gloucestershire, England",-1.7230815,51.8766799,"little rissington, cheltenham gl54, uk"
"London Area Control Centre","England","Hampshire","No. 78 Squadron is embedded in the civilian London Area Control Centre operated by NATS at Swanwick. It provides a military air traffic control service across the UK, operates the UK's Distress and Diversion Cell and provides air traffic control services for RAF Northolt.[31]","London Area Control Centre, Hampshire, England",-1.286256,50.88686,"sopwith way, swanwick, southampton so31 7ay, uk"
"RAF Lossiemouth","Scotland","Moray","Eurofighter Typhoon FGR4 main operating base with No. 1 Squadron, No. 2 (AC) Squadron, No. 6 Squadron and No. 9 Squadron, contributing to the Quick Reaction Alert (Interceptor) North capability. No. 120 Squadron and No. 201 Squadron operate the P-8A Posedon maritime patrol aircraft. No. 5 Force Protection Wing HQ, No. 51 Squadron RAF Regiment and No. 2622 (Highland) Squadron (RAuxAF) operate in the force protection role.[32]","RAF Lossiemouth, Moray, Scotland",-3.280325,57.721579,"lossiemouth, uk"
"RAF Marham","England","Norfolk","F-35 Lightning II main operating base, home to No. 207 Squadron and No. 617 Squadron. Non-flying units include No. 3 Force Protection Wing HQ, No. 93 Expeditionary Armament Squadron and No. 2620 (County of Norfolk) Squadron (RAuxAF).[33][34]","RAF Marham, Norfolk, England",0.5469716,52.656987,"marham, upper marham, king's lynn pe33 9np, uk"
"RAF Mona","Wales","Isle of Anglesey","Relief Landing Ground (RLG) for training aircraft operating from RAF Valley.[35]","RAF Mona, Isle of Anglesey, Wales",-4.3767799,53.2571414,"bodffordd, holyhead ll65 4rp, uk"
"RRH Neatishead","England","Norfolk","Remote Radar Head (formerly RAF Neatishead) forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[7] Part of the site is now the RAF Air Defence Radar Museum.
","RRH Neatishead, Norfolk, England",1.465231,52.736843,"neatishead, norwich nr12 8ad, uk"
"RAF Northolt","England","Greater London","Home of No. 32 (The Royal) Squadron operating the Leonardo AW109SP GrandNew in the Command Support Air Transport role. Also home to No. 63 Squadron (Queen's Colour Squadron) RAF Regiment, No. 600 (City of London) Squadron (RAuxAF), No. 1 AIDU (Aeronautical Information Documents Unit) and the Headquarters Music Services and the Central Band of the RAF. Several other military units are based at Northolt, including the British Forces Post Office and No. 621 (Explosive Ordnance Disposal) Squadron of the Royal Logistics Corps.[36]","RAF Northolt, Greater London, England",-0.4187648,51.5532155,"raf northolt, w end rd, ruislip ha4 6ng, uk"
"RAF Odiham","England","Hampshire","Home of the RAF's Chinook fleet operating under Joint Helicopter Command, comprising No. 7 Squadron, No. 18 Squadron and No. 27 Squadron.[37]","RAF Odiham, Hampshire, England",-0.9454096,51.2417985,"royal air force, odiham, hook rg29 1qt, uk"
"RRH Portreath","England","Cornwall","Remote Radar Head (formerly RAF Portreath) forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[7]","RRH Portreath, Cornwall, England",-5.2687222,50.263993,"portreath, redruth tr16 4ra, uk"
"RRH Saxa Vord","Scotland","Shetland Islands","Remote Radar Head forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[38]","RRH Saxa Vord, Shetland Islands, Scotland",-0.8409691,60.8282012,"shetland ze2 9eq, uk"
"RAF Scampton","England","Lincolnshire","Home of the RAF Aerobatic Team (Red Arrows) flying the BAE Systems Hawk T1A. Non-flying units include No. 1 Air Control Centre and the Mobile Meteorological Unit.[39] In July 2018, the MOD announced that Scampton would close by 2022; all units would be relocated to other RAF Bases.[40]","RAF Scampton, Lincolnshire, England",-0.541618,53.3003149,"scampton, lincoln ln1 2st, uk"
"RAF Shawbury","England","Shropshire","Home of the tri-service No. 1 Flying Training School, comprising No. 60 Squadron, No. 660 Squadron Army Air Corps and 705 Naval Air Squadron, flying the Airbus Juno HT1. Elements of the Central Flying School (Helicopter) Squadron train helicopter flying instructors and the School of Air Operations Control (SAOC) trains air traffic controllers for the RAF and Royal Navy.[41]","RAF Shawbury, Shropshire, England",-2.6574817,52.792675,"wem rd, shawbury, shrewsbury sy4 4dz, uk"
"RAF Spadeadam","England","Cumbria","Electronic warfare range.[42]","RAF Spadeadam, Cumbria, England",-2.6036415,55.0269508,"raf spadeadam, gilsland, brampton ca8 7at, uk"
"MOD St. Athan","Wales","Vale of Glamorgan","Training station, home to No. 4 School of Technical Training and the University of Wales Air Squadron flying the Grob Tutor T1.[43]","MOD St. Athan, Vale of Glamorgan, Wales",-3.4219297,51.4094556,"st athan cf62 4jd, uk"
"RAF St Mawgan","England","Cornwall","Non-flying station with the airfield part now operating as Newquay Airport. The station is home to the tri-service Defence Survive, Evade, Resist, Extract Training Organisation and No. 505 (Wessex) Squadron RAuxAF.[44] Also used by the Defence Infrastructure Organisation to accommodate personnel utilising the Defence Training Estate within the south west of England.[45]","RAF St Mawgan, Cornwall, England",-5.0085687,50.4374626,"r a f st mawgan, newquay tr8, uk"
"RRH Staxton Wold","England","North Yorkshire","Remote Radar Head (formerly RAF Staxton Wold) forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[7]","RRH Staxton Wold, North Yorkshire, England",-0.4363313,54.1869316,"staxton, scarborough yo12 4tj, uk"
"RAF Syerston","England","Nottinghamshire","Home of No. 2 Flying Training School headquarters, the Central Gliding School and No. 644 Volunteer Gliding Squadron.[46]","RAF Syerston, Nottinghamshire, England",-0.9091425,53.0236966,"raf syerston, flintham, newark ng23 5ng, uk"
"Ternhill Airfield","England","Shropshire","Former RAF station, unmanned airfield used for training purposes by helicopters of the No. 1 Flying Training School.[47]","Ternhill Airfield, Shropshire, England",-2.5411379,52.8859738,"tern hill, market drayton tf9, uk"
"RAF Topcliffe","England","North Yorkshire","Former RAF station, now the British Army's Alanbrooke Barracks, with the airfield retained by the RAF and used by No. 645 Volunteer Gliding Squadron teaching Air Cadets to fly the Grob Viking.[48]","RAF Topcliffe, North Yorkshire, England",-1.3911619,54.2063361,"topcliffe, alanbrooke barracks, thirsk yo7 3dz, uk"
"RRH Trimingham","England","Norfolk","Remote Radar Head, satellite station of RRH Neatishead.[49]","RRH Trimingham, Norfolk, England",1.4006566,52.8930574,"mundesley rd, norwich nr11 8dy, uk"
"RAF Valley","Wales","Isle of Anglesey","Flying training station home to No. 4 Flying Training School comprising No. 4 Squadron and No. 25 Squadron operating the BAE Systems Hawk T2 & No. 72 Squadron operating the Beechcraft T-6 Texan II. Also No. 202 Squadron, part of No. 1 Flying Training School, operates the Airbus Jupiter HT1 in the maritime and mountain flying training role. The station is also home to the RAF Mountain Rescue Service headquarters.[50] The airfield incorporates Anglesey Airport.
","RAF Valley, Isle of Anglesey, Wales",-4.5344406,53.2562091,"valley anglesey airport, minffordd rd, holyhead ll65 3ny, uk"
"RAF Waddington","England","Lincolnshire","Main operating base, home to the RAF's Intelligence, Surveillance, Target Acquisition and Reconnaissance (ISTAR) operations. No. 8 Squadron operate the Boeing Sentry AEW1, No. 13 Squadron the General Atomics MQ-9 Reaper, No. 14 Squadron the Beechcraft Shadow R1, and No. 51 Squadron the Boeing RC-135V Rivet Joint. No. 54 Squadron is the ISTAR training unit and No. 56 Squadron is the ISTAR test and evaluation unit.[51] Non-flying squadrons include No. 2503 (County of Lincoln) Squadron RAuxAF Regiment, the RAF Air Battlespace Training Centre, RAF Air and Space Warfare Centre, the headquarters of the intelligence reserves and No. 7006 (VR) Intelligence Squadron.[52]","RAF Waddington, Lincolnshire, England",-0.5308389,53.1727834,"raf waddington, waddington, lincoln ln5, uk"
"MOD West Freugh","Scotland","Dumfries and Galloway","Former RAF station, operated by QinetiQ on behalf of the MOD as a test and evaluation range. The airfield is disused and unlicensed but available for military exercises.[53]","MOD West Freugh, Dumfries and Galloway, Scotland",-4.9476103,54.8511322,"west freugh airport, stranraer dg9 9dn, uk"
"RAF Weston-on-the-Green","England","Oxfordshire","Force Development Training Centre, used by No. 1 Parachute Training School (based at nearby RAF Brize Norton) as a parachute drop-zone.[54]","RAF Weston-on-the-Green, Oxfordshire, England",-1.2282522,51.879319,"raf weston-on-the-green, weston-on-the-green, bicester ox25 3tq, uk"
"RAF Wittering","England","Cambridgeshire and Northamptonshire","Support station accommodating elements of the RAF Support Force which supports deployed and expeditionary air operations and comprises a variety of units under No. 42 (Expeditionary Support) Wing and No. 85 (Expeditionary Logistics) Wing.[55] Flying units consist of No. 16 Squadron of No. 3 Flying Training School and No. 115 Squadron, University of London Air Squadron, Cambridge University Air Squadron and No. 5 Air Experience Flight of No. 6 Flying Training School, all flying the Grob Tutor T1.[56]","RAF Wittering, Cambridgeshire and Northamptonshire, England",-0.4390687,52.6069074,"wittering, peterborough pe8, uk"
"RAF Woodvale","England","Merseyside","Training station home to Liverpool University Air Squadron, Manchester and Salford Universities Air Squadron, No. 10 Air Experience Flight all flying the Grob Tutor T1 and No. 631 Volunteer Gliding Squadron. The Station is also home to No. 611 (West Lancashire) Squadron RAuxAF.[57]","RAF Woodvale, Merseyside, England",-3.0458376,53.5837476,"formby bypass, liverpool l37 7ad, uk"
"RAF Wyton","England","Cambridgeshire","Non-flying station operated under Strategic Command, home to the Joint Forces Intelligence Group (JFIG), the Defence Intelligence Fusion Centre (DIFC) and 42 Engineer Regiment (Geographic) of the British Army.[58][59]","RAF Wyton, Cambridgeshire, England",-0.1077532,52.3571907,"druce ave, wyton, huntingdon pe28 2ef, uk"
